Name,Sweep (T1),,,Name,Sweep (T1),,,Name,Sweep (T1),,,
279103214.890017,-20.0521831512451,,,279103214.890017,-20.1090488433838,,,279103214.890017,-20.2024993896484,,,
281556683.58714,-20.0196113586426,,,281556683.58714,-20.1000652313232,,,281556683.58714,-20.1728439331055,,,
284010152.284264,-19.98703956604,,,284010152.284264,-20.0910797119141,,,284010152.284264,-20.1431884765625,,,
286463620.981388,-19.9544658660889,,,286463620.981388,-20.0820941925049,,,286463620.981388,-20.1135330200195,,,
288917089.678511,-19.928186416626,,,288917089.678511,-20.0758972167969,,,288917089.678511,-20.0900096893311,,,
291370558.375635,-19.9326305389404,,,291370558.375635,-20.0833187103271,,,291370558.375635,-20.0964279174805,,,
293824027.072758,-19.9370746612549,,,293824027.072758,-20.0907402038574,,,293824027.072758,-20.1028480529785,,,
296277495.769882,-19.9415168762207,,,296277495.769882,-20.0981616973877,,,296277495.769882,-20.1092662811279,,,
298730964.467005,-19.9459609985352,,,298730964.467005,-20.105583190918,,,298730964.467005,-20.1156845092773,,,
301184433.164129,-19.9504051208496,,,301184433.164129,-20.1130046844482,,,301184433.164129,-20.1221046447754,,,
303637901.861252,-19.9699440002441,,,303637901.861252,-20.1227264404297,,,303637901.861252,-20.1318969726563,,,
306091370.558376,-20.0324459075928,,,306091370.558376,-20.1389961242676,,,306091370.558376,-20.1512908935547,,,
308544839.255499,-20.0949478149414,,,308544839.255499,-20.1552677154541,,,308544839.255499,-20.1706848144531,,,
310998307.952623,-20.15744972229,,,310998307.952623,-20.171537399292,,,310998307.952623,-20.1900806427002,,,
313451776.649746,-20.2199516296387,,,313451776.649746,-20.1878089904785,,,313451776.649746,-20.2094745635986,,,
315905245.34687,-20.2824535369873,,,315905245.34687,-20.2040786743164,,,315905245.34687,-20.2288703918457,,,
318358714.043993,-20.3071937561035,,,318358714.043993,-20.2093544006348,,,318358714.043993,-20.2340564727783,,,
320812182.741117,-20.2618045806885,,,320812182.741117,-20.1942100524902,,,320812182.741117,-20.2128620147705,,,
323265651.43824,-20.2164154052734,,,323265651.43824,-20.1790637969971,,,323265651.43824,-20.1916656494141,,,
325719120.135364,-20.1710262298584,,,325719120.135364,-20.1639194488525,,,325719120.135364,-20.1704692840576,,,
328172588.832487,-20.1256370544434,,,328172588.832487,-20.148775100708,,,328172588.832487,-20.1492729187012,,,
330626057.529611,-20.0802459716797,,,330626057.529611,-20.1336307525635,,,330626057.529611,-20.1280765533447,,,
333079526.226734,-20.059778213501,,,333079526.226734,-20.1337261199951,,,333079526.226734,-20.1163692474365,,,
335532994.923858,-20.0710277557373,,,335532994.923858,-20.1532192230225,,,335532994.923858,-20.1167373657227,,,
337986463.620981,-20.0822772979736,,,337986463.620981,-20.1727123260498,,,337986463.620981,-20.1171054840088,,,
340439932.318105,-20.0935287475586,,,340439932.318105,-20.1922054290771,,,340439932.318105,-20.1174755096436,,,
342893401.015228,-20.1047782897949,,,342893401.015228,-20.2116985321045,,,342893401.015228,-20.1178436279297,,,
345346869.712352,-20.1160278320313,,,345346869.712352,-20.2311916351318,,,345346869.712352,-20.1182117462158,,,
347800338.409475,-20.1203575134277,,,347800338.409475,-20.2292575836182,,,347800338.409475,-20.1190185546875,,,
350253807.106599,-20.1185474395752,,,350253807.106599,-20.208324432373,,,350253807.106599,-20.1202125549316,,,
352707275.803723,-20.1167392730713,,,352707275.803723,-20.1873893737793,,,352707275.803723,-20.1214065551758,,,
355160744.500846,-20.1149311065674,,,355160744.500846,-20.1664562225342,,,355160744.500846,-20.1226024627686,,,
357614213.19797,-20.1131229400635,,,357614213.19797,-20.1455211639404,,,357614213.19797,-20.1237964630127,,,
360067681.895093,-20.1113147735596,,,360067681.895093,-20.1245880126953,,,360067681.895093,-20.1249904632568,,,
362521150.592217,-20.0957813262939,,,362521150.592217,-20.1116561889648,,,362521150.592217,-20.1308879852295,,,
364974619.28934,-20.0718364715576,,,364974619.28934,-20.1036319732666,,,364974619.28934,-20.139669418335,,,
367428087.986464,-20.0478916168213,,,367428087.986464,-20.0956077575684,,,367428087.986464,-20.1484489440918,,,
369881556.683587,-20.023946762085,,,369881556.683587,-20.0875835418701,,,369881556.683587,-20.1572303771973,,,
372335025.380711,-20.0000019073486,,,372335025.380711,-20.0795574188232,,,372335025.380711,-20.1660099029541,,,
374788494.077834,-19.9760570526123,,,374788494.077834,-20.071533203125,,,374788494.077834,-20.1747913360596,,,
377241962.774958,-19.9825096130371,,,377241962.774958,-20.077220916748,,,377241962.774958,-20.1678314208984,,,
379695431.472081,-20.0013790130615,,,379695431.472081,-20.0885066986084,,,379695431.472081,-20.1544399261475,,,
382148900.169205,-20.0202484130859,,,382148900.169205,-20.0997943878174,,,382148900.169205,-20.1410503387451,,,
384602368.866328,-20.0391178131104,,,384602368.866328,-20.1110820770264,,,384602368.866328,-20.1276607513428,,,
387055837.563452,-20.0579872131348,,,387055837.563452,-20.1223697662354,,,387055837.563452,-20.1142692565918,,,
389509306.260575,-20.0768566131592,,,389509306.260575,-20.1336555480957,,,389509306.260575,-20.1008796691895,,,
391962774.957699,-20.095178604126,,,391962774.957699,-20.1492004394531,,,391962774.957699,-20.1139430999756,,,
394416243.654822,-20.1133651733398,,,394416243.654822,-20.1658096313477,,,394416243.654822,-20.1336193084717,,,
